iter	Logloss
0	0.6122212189
1	0.5588721488
2	0.5096751084
3	0.4588685691
4	0.401034223
5	0.36917467
6	0.3271695665
7	0.2910046915
8	0.262649639
9	0.2375652841
10	0.2135563918
11	0.193045003
12	0.1760920508
13	0.1609942739
14	0.14795637
15	0.1366162719
16	0.1272456809
17	0.1185283662
18	0.1108197118
19	0.1038963898
20	0.09702489801
21	0.09148145905
22	0.08658090232
23	0.08251025272
24	0.07848177328
25	0.07416732226
26	0.07071815653
27	0.06759447826
28	0.06444969137
29	0.06183080499
30	0.05945440936
31	0.05727955724
32	0.05517003201
33	0.05319391214
34	0.05156234642
35	0.05010930897
36	0.04858887737
37	0.046931767
38	0.04549841207
39	0.04406539962
40	0.04292972281
41	0.04183381108
42	0.04080836561
43	0.03979370665
44	0.03887971589
45	0.03798950791
46	0.03719382476
47	0.03638182414
48	0.03564135543
49	0.03488565333
50	0.03422114257
51	0.03338540186
52	0.0327604838
53	0.03220180597
54	0.03169356091
55	0.03112758655
56	0.03065225798
57	0.03001673605
58	0.02950902943
59	0.0290628532
60	0.02865156394
61	0.02824685841
62	0.02777432025
63	0.02741528896
64	0.02701334118
65	0.02666689463
66	0.02627498459
67	0.0259975529
68	0.02568563254
69	0.02538881852
70	0.02505809354
71	0.02473011104
72	0.0244555383
73	0.02424045049
74	0.02398820803
75	0.02386088063
76	0.02378535661
77	0.02358851226
78	0.02339573596
79	0.02319666182
80	0.0229158326
81	0.0227432623
82	0.0224571101
83	0.02224995469
84	0.0220961671
85	0.02189238657
86	0.0216677857
87	0.02160088931
88	0.02150759709
89	0.02128892415
90	0.02103742608
91	0.02087337655
92	0.0206664488
93	0.0205382171
94	0.02026344651
95	0.02014021941
96	0.02005322271
97	0.01987091697
98	0.01982625092
99	0.01979408353
100	0.01954709589
101	0.01935227938
102	0.01920836819
103	0.01916460694
104	0.01900456966
105	0.01891531143
106	0.01873962896
107	0.01850549922
108	0.01833957814
109	0.0182054915
110	0.0179845034
111	0.01784240878
112	0.01768636278
113	0.01756322151
114	0.01735079212
115	0.01726406578
116	0.0172046078
117	0.01703281751
118	0.01692018742
119	0.01670889326
120	0.01660880138
121	0.01645851486
122	0.01641927665
123	0.016376006
124	0.0162271646
125	0.01616174874
126	0.01609786089
127	0.01599177382
128	0.01594338643
129	0.01579927437
130	0.01567681213
131	0.0156429161
132	0.01550777745
133	0.01540617899
134	0.0152807357
135	0.01519367191
136	0.01509353307
137	0.01508458265
138	0.01499924512
139	0.01484100921
140	0.01480391985
141	0.014669243
142	0.0145613548
143	0.0144964793
144	0.01434776087
145	0.01424124055
146	0.01415488294
147	0.01409750723
148	0.01397322543
149	0.01394155183
150	0.01384261534
151	0.01383046608
152	0.01374297373
153	0.0136610008
154	0.01355420194
155	0.01350108878
156	0.01341939099
157	0.01338764403
158	0.01330310108
159	0.01315928477
160	0.01312805337
161	0.01305116042
162	0.01293527325
163	0.01288433566
164	0.01276336622
165	0.01269445457
166	0.01259782657
167	0.01249970367
168	0.0124181029
169	0.01230307817
170	0.01229534942
171	0.01219868016
172	0.01213403004
173	0.01202454445
174	0.01199883499
175	0.01199617584
176	0.01193523722
177	0.01193344963
178	0.01190774643
179	0.01187364831
180	0.01178911368
181	0.01169759748
182	0.01169571227
183	0.01161969704
184	0.01157951595
185	0.01149021447
186	0.01142542378
187	0.01140731474
188	0.0113129418
189	0.011270169
190	0.01122291865
191	0.01119273069
192	0.01116044007
193	0.01108785641
194	0.01108568976
195	0.01104105772
196	0.01097749614
197	0.01094374537
198	0.01090383605
199	0.01085699344
